@RELATION OutputFromProcess

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL

@DATA
1419,14669,0.40736741822800887,-0.24436187052299646,21097,6556,0.3034585775020108,-105.0,5000,3368,1.0,-182.0
1426,13423,0.35744827586206895,0.09810480604158367,21000,5843,0.1867085295656724,-294.0,42195,13375,0.3319784100752982,-70.0
1427,14153,0.40779310344827585,0.13898822022237622,10000,2958,0.19530284301606923,-99.0,42195,13530,0.34230692343573,-265.0
1428,13023,0.32986206896551723,0.10552142058933905,21000,6088,0.21234955520669807,-294.0,21097,6047,0.2363317415456583,-21.0
1429,13718,0.33948872971019256,0.014489942638620523,01:13:17,15000,4397,0.3081570996978852,03:45:23,42195,13523,0.3418404744452589,-28.0
1430,15059,0.4446022727272727,0.10816514990305764,42195,14670,0.4535245961022966,-14.0,21097,5824,0.2193496495461335,-84.0
1431,12809,0.31510344827586206,0.06711302827121698,15000,4460,0.1553398058252427,-273.0,42195,13505,0.34064103418404745,-91.0
1433,14013,0.40592624791711945,0.2502679796718853,10000,2568,0.13691931540342298,-335.0,21097,6140,0.17439722108704536,-8.0
1435,12654,0.29447236180904524,0.0026412073168496364,21097,6130,0.24442062177175713,-364.0,42195,13484,0.3392416872126341,-49.0
1436,13232,0.3210227272727273,-0.015594296957626486,42195,14902,0.47033253640512934,-14.0,21097,6419,0.20290151205557827,-343.0
1440,14022,0.5889399409255005,0.010309080345516586,10000,5130,0.7718423551756886,-251.0,04:12:17,42195,15137,0.38541936598427917,-113.0
1442,11929,0.2582166333238068,0.028756347308825037,15000,3872,0.19712746858168761,-57.0,42195,12036,0.2617931034482759,-309.0
1444,12734,0.3157330665904544,0.08826999281598058,21097,5943,0.23302309548431574,-37.0,15000,4010,0.22190305206463196,-20.0
1445,13175,0.34521480837499097,0.06604679005022157,15000,4158,0.24847396768402155,-104.0,42195,12733,0.30986206896551727,-309.0
1446,14550,0.4448308338766935,0.12643798094235364,15000,4716,0.34865350089766606,-104.0,42195,12717,0.28813220497101355,-673.0
1447,13042,0.3244684963277928,0.08474323871990669,15000,4608,0.1846641569249059,-322.0,10000,2677,0.2947863582908663,-42.0
1450,15736,0.47513496348046996,0.13837064779510727,21097,9309,0.52642497283414,-21.0,21097,5538,0.14710365853658536,-77.0
1452,13988,0.3721590909090909,0.15740754156289408,21097,6257,0.26910260829598986,-98.0,21097,6003,0.16040049039640375,-259.0
1455,12595,0.3003448275862069,0.08983198092004152,21097,6004,0.24003217281397218,-35.0,15000,4051,0.18099352051835854,-20.0
1460,12252,0.2766896551724138,-0.041677954252054894,21097,5731,0.20866367919108353,-35.0,10000,4249,0.42807153965785383,-259.0
1465,12222,0.2746206896551724,-0.0717407612345804,21097,5957,0.22253422253422253,-169.0,21097,7336,0.470188679245283,-110.0
1466,12883,0.29393458240711334,0.07848225848479368,42195,12167,0.2568225744105141,-21.0,15000,4003,0.17408207343412527,-104.0
1467,13406,0.3271514766592569,0.06085691365857715,42195,12263,0.2642442984151527,-21.0,42195,12131,0.26834482758620687,-49.0
1468,14676,0.4186958874458874,-0.2144576592867224,21097,8092,0.7795484727755644,-14.0,42195,15298,0.4867586206896552,-413.0
1471,12750,0.2884199134199134,0.018360573156526838,21097,5652,0.31663820906848794,-14.0,21097,5892,0.22348047145828517,-112.0
1473,13663,0.380569441425777,-0.043559619247548365,42195,15297,0.44725309622102255,-343.0,42195,14032,0.40100502512562813,-21.0
1474,16804,0.615307305759567,0.2847345672969308,42195,16467,0.5673793103448276,-49.0,15000,3914,0.0937661665804449,-91.0
1475,12439,0.28958620689655173,-0.2156691793298144,21097,7133,0.3697575548661381,-35.0,05:01:33,42195,18093,0.6407532175865941,-14.0
1477,13524,0.36173173560108235,0.09563253131208094,21000,6463,0.25159602302459444,-343.0,42195,12604,0.2806023855534084,-70.0
1485,12731,0.30042520293776576,0.037081849278504386,42195,12853,0.31813793103448273,-49.0,21097,5730,0.20854877628403998,-35.0
1486,14630,0.4155844155844156,0.14273594192131722,42195,13417,0.3627472288632906,-14.0,21097,5832,0.18294971846290625,-364.0
1487,15782,0.5335095741640469,0.3935665957649668,5000,1511,0.05467625899280575,-22.0,21097,5875,0.22520969780535446,-15.0
1488,12670,0.283008658008658,0.011235174609364074,42195,12110,0.26689655172413795,-427.0,42195,12669,0.2766504150744499,-294.0
1489,13305,0.32596049783549785,0.04356759422458778,42195,12968,0.33245212917976563,-61.0,21097,5937,0.23233367804205446,-37.0
1490,14695,0.40901873610670053,0.062120998079695455,42195,12639,0.29331271743332044,-21.0,42195,14047,0.40048275862068966,-49.0
1493,13161,0.3393793103448276,0.07226154429558412,21097,6483,0.29507066528783177,-35.0,15000,4455,0.23916486681065516,-20.0
1495,13329,0.3563718032311816,-0.03215451187494173,42195,13715,0.538562520511979,-98.0,03:43:56,42195,13436,0.23849010970026777,-364.0
1496,15858,0.49864718614718617,0.0648586754239307,21097,6957,0.38812322659100124,-246.0,42195,15804,0.4794537948555097,-111.0
1497,14145,0.37408701174976183,0.1045913359538016,21000,6531,0.258712715855573,-364.0,42195,12817,0.2802786357363475,-21.0
1498,13311,0.35506773889734117,0.10043036003823919,15000,4188,0.25385996409335726,-104.0,21097,6933,0.25541479362484676,-239.0
1499,14516,0.39765004763416956,0.0607113815188276,42195,13629,0.33989985505336673,-364.0,42195,13405,0.33397747717731724,-70.0
1504,14738,0.44813793103448274,0.18526566608972173,21097,6468,0.2933471216821786,-35.0,15000,4408,0.23239740820734342,-20.0
1505,14049,0.4006206896551724,0.14334745650242497,10000,2841,0.14664555709479518,-105.0,42195,14054,0.3679009092106997,-189.0
1507,13455,0.3596551724137931,0.09550765949091578,10000,2900,0.250229990800368,-7.0,21097,6335,0.27806503504538665,-28.0
1508,15446,0.4707792207792208,0.24112118716428918,42195,11570,0.2289357386075491,-14.0,21097,5920,0.23038032862231414,-84.0
1510,15446,0.4707792207792208,0.1422125575474507,42195,12508,0.29689198000434686,-14.0,42195,13927,0.36024134645919337,-343.0
1512,12525,0.29551724137931035,-0.05614570505020111,21097,7616,0.4252556589681719,-35.0,42195,12566,0.27807023389085095,-329.0
1513,13299,0.35419836267478083,-0.0763058564277197,10000,3574,0.31689423272875483,-91.0,42195,16856,0.5441142054762462,-49.0
1516,12570,0.28797835330498645,0.13348891534817814,21097,5572,0.19039411697115938,-84.0,10000,2657,0.11858475894245724,-259.0
